Center,Hour,Date,Forecast,Lower_CI,Upper_CI
SC43,6,2023-11-11,437.3851403436551,,
SC43,6,2023-11-12,483.091643827861,,
SC43,6,2023-11-13,483.9480773302446,,
SC43,6,2023-11-14,528.9424679377062,,
SC43,6,2023-11-15,522.3033403910302,,
SC43,6,2023-11-16,580.5099074337152,,
SC43,6,2023-11-17,559.3188268862909,,
SC43,6,2023-11-18,628.5976622623737,,
SC43,6,2023-11-19,603.4869797220051,,
SC43,6,2023-11-20,668.2173266446001,,
SC43,6,2023-11-21,654.647359278634,,
SC43,6,2023-11-22,704.6252862852463,,
SC43,6,2023-11-23,704.1807983910647,,
SC43,6,2023-11-24,746.9615291277125,,
SC43,6,2023-11-25,745.4401770509045,,
SC43,6,2023-11-26,797.1885817049609,,
SC43,6,2023-11-27,781.79465590573,,
SC43,6,2023-11-28,847.7164978692151,,
SC43,6,2023-11-29,822.5523625871548,,
SC43,6,2023-11-30,890.5881015114983,,
SC43,6,2023-12-01,871.69583230841,,
SC43,6,2023-12-02,927.1086457306887,,
SC43,6,2023-12-03,923.0623969043786,,
SC43,6,2023-12-04,966.2662250530532,,
SC43,6,2023-12-05,967.8021403603116,,
SC43,6,2023-12-06,1013.854533206636,,
SC43,6,2023-12-07,1005.0879193211018,,
SC43,6,2023-12-08,1065.461435411683,,
SC43,6,2023-12-09,1043.116348734057,,
SC43,6,2023-12-10,1111.8084756898677,,
SC43,7,2023-11-28,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-11-29,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-11-30,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-12-01,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-12-02,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-12-03,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-12-04,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-12-05,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-12-06,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-12-07,240.2662195057475,-397.630020724665,878.1624597361599
SC43,7,2023-12-08,240.2662195057475,-397.630020724665,878.1624597361599
